Job name,Duration,Time of execution,Result
AMS.IntegrationTests,81626,2016-12-06T13:00:28Z,SUCCESS
AMS.IntegrationTests,76069,2016-12-06T12:41:36Z,SUCCESS
AMS.IntegrationTests,78131,2016-12-06T11:40:22Z,SUCCESS
AMS.IntegrationTests,78263,2016-12-06T11:31:20Z,SUCCESS
AMS.IntegrationTests,85033,2016-12-02T11:05:06Z,SUCCESS
AMS.IntegrationTests,78189,2016-12-01T15:17:15Z,SUCCESS
AMS.IntegrationTests,83365,2016-11-30T16:50:08Z,SUCCESS
AMS.IntegrationTests,85133,2016-11-30T16:43:12Z,SUCCESS
AMS.IntegrationTests,78430,2016-11-30T15:42:36Z,SUCCESS
AMS.IntegrationTests,79194,2016-11-30T15:05:42Z,SUCCESS
AMS.IntegrationTests,78806,2016-11-30T12:27:22Z,SUCCESS
AMS.IntegrationTests,77836,2016-11-30T11:05:38Z,SUCCESS
AMS.IntegrationTests,80890,2016-11-30T09:53:36Z,SUCCESS
AMS.IntegrationTests,78170,2016-11-30T08:46:50Z,SUCCESS
AMS.IntegrationTests,87362,2016-11-29T09:08:33Z,SUCCESS
AMS.IntegrationTests,74962,2016-11-29T09:04:47Z,SUCCESS
AMS.IntegrationTests,73511,2016-11-29T08:33:19Z,SUCCESS
AMS.IntegrationTests,78187,2016-11-28T15:13:21Z,SUCCESS
AMS.IntegrationTests,70355,2016-11-25T15:47:44Z,SUCCESS
AMS.IntegrationTests,76393,2016-11-25T11:13:49Z,SUCCESS
AMS.IntegrationTests,80405,2016-11-22T15:51:10Z,SUCCESS
AMS.IntegrationTests,77159,2016-11-22T14:57:46Z,SUCCESS
AMS.IntegrationTests,84112,2016-11-22T14:41:55Z,SUCCESS
AMS.IntegrationTests,81365,2016-11-22T14:01:44Z,SUCCESS
AMS.IntegrationTests,278366,2016-11-22T12:55:07Z,SUCCESS
AMS.IntegrationTests,82461,2016-11-22T11:58:33Z,SUCCESS
AMS.IntegrationTests,79087,2016-11-22T11:09:43Z,SUCCESS
AMS.IntegrationTests,155322,2016-11-22T10:48:49Z,SUCCESS
AMS.IntegrationTests,76224,2016-11-22T09:19:56Z,SUCCESS
AMS.IntegrationTests,78729,2016-11-22T08:34:57Z,SUCCESS
AMS.IntegrationTests,84400,2016-11-22T08:20:25Z,SUCCESS
AMS.IntegrationTests,78665,2016-11-21T15:51:24Z,SUCCESS
AMS.IntegrationTests,84982,2016-11-21T14:14:56Z,SUCCESS
AMS.IntegrationTests,77143,2016-11-21T11:27:31Z,SUCCESS
AMS.IntegrationTests,82478,2016-11-21T10:03:13Z,SUCCESS
AMS.IntegrationTests,82796,2016-11-21T09:15:44Z,SUCCESS
